appname,appid,metadata_category,metadata_severity,metadata_comment,metadata_reference,service
Adobe Drive X,85da47ec-2977-40ab-af03-f3d45aaab169,malicious,critical,OwnerTenantId=5fddfbb7-41a3-4bbe-b98c-29827d092e19; OwnerTenantDomains=; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
COZY BEAR OAuth Redirect App,fc45d3d0-d870-4c83-b3f7-08ebca61d3a0,malicious,critical,ThreatActor: COZY BEAR/APT29; scopes: openid; offline_access; profile,https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
docsign,6a77659d-dd6f-4c73-a555-aed25926a05f,malicious,critical,OwnerTenantId=619849e9-5192-4c3f-b0f3-8469980c3958; OwnerTenantDomains=nceconomicresourcecouncil.onmicrosoft.com; ncerc.org; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Docusign,6628b5b8-55af-42b4-9797-5cd5c148313c,malicious,critical,OwnerTenantId=b25911e3-9339-4019-90ed-b263339449bc; OwnerTenantDomains=levenospenkozhotmail.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
DocuSign,a3903ccd-ec81-4264-8f6a-a7d4cd395fd5,malicious,critical,OwnerTenantId=e297c7b7-297d-4261-a849-e11e0f2bb10f; OwnerTenantDomains=cooltekinc.com; cooltekllc.com; cooltekllc.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Docusign,db2eb385-c02f-44fc-b204-ade7d9f418b1,malicious,critical,"replyUrls=[   ""https://projectfilesteamworde93a.myclickfunnels.com/rfp"" ]; homepage=nan; appOwnerOrganizationId=01e5b161-25f2-4540-964b-1d432cc10031",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Docusign,fdcf7337-92bf-4c70-9888-ea234b6ffb0d,malicious,critical,OwnerTenantId=bb42fc45-200e-4b7b-a63b-70bbdf1c83ec; OwnerTenantDomains=ceyanos.info; ceyanos.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
DocuSign-2025,f99a0806-7650-4d78-acef-71e445dfc844,malicious,critical,OwnerTenantId=3a4f221b-5c4b-4665-9f7d-2ee498224e66; OwnerTenantDomains=wallsofttech.com; wallsofttech.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Excel4Enabler,f66985e0-7bb1-4cc5-a871-1cea533665d9,malicious,critical,"replyUrls=[   ""https://iwljzmwhres67fh.com/office"" ]; homepage=nan; appOwnerOrganizationId=1d2e2b77-68f0-4396-873a-22900b02a553",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
iLSMART,854189f9-4c71-44bb-9880-dd0c2f75922a,malicious,critical,AiTM reverse proxy; captures passwords MFA codes and session cookies; scopes include Mail.ReadWrite; Mail.Send; MailboxSettings.ReadWrite,https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Mail_Backup,2ef68ccc-8a4d-42ff-ae88-2d7bb89ad139,malicious,critical,Scopes include Mail.Read; Mail.ReadWrite; Contacts.Read; Calendars.Read; offline_access,https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
MyMail Settings,b7cb9a9b-ddc9-4444-935b-1122733c97c4,malicious,critical,OwnerTenantId=2c08ab0d-eed9-4034-bfb7-765c52eceef9; OwnerTenantDomains=; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
OAuth phishing app observed in EvilGinx/AiTM lure,57b8c81f-1d9a-42fe-8ba5-2262822d7291,malicious,high,Joe Sandbox report labels this Azure AD client ID as abused to initiate a legitimate-looking OAuth2 flow in an EvilGinx/AiTM phishing lure.,https://www.joesandbox.com/joereverser/analysis/download/8d0148db-3ef0-401f-ab09-60523df1531f?type=html | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
OneDrive-2025,31c6b531-dd95-4361-93df-f5a9c906da39,malicious,critical,"replyUrls=[   ""https://cleansbeauty.com/lost/apc.html"" ]; homepage=nan; appOwnerOrganizationId=9f0b1d59-fffb-4488-8f5a-76cec7e557b7",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
OneDгive for Business,c7121e86-fe4d-4dbd-b5f3-e61a62ee533a,malicious,critical,"OwnerTenantId=a4afdac5-f28f-4161-87c4-b5f7625bc048; OwnerTenantDomains=epsilonservices.onmicrosoft.com; LastSeen=2019 | replyUrls=[   ""https://outpostportal.net"",   ""https://outpostportal.net/login"" ]; homepage=https://onedrive.live.com/about/en-US/business/; appOwnerOrganizationId=a4afdac5-f28f-4161-87c4-b5f7625bc048",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
PDF,a69a0f78-a77c-451c-b090-b766425caee2,malicious,critical,OwnerTenantId=31aca3e6-069d-4baa-89b7-6502006fe99e; OwnerTenantDomains=lnsrc.org; lnsrclub.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
PERFECTDATA SOFTWARE,ff8d92dc-3d82-41d6-bcbd-b9174d163620,malicious,critical,Scopes: Mail.Read; Contacts.Read; EWS.AccessAsUser.All,https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Potentially malicious OAuth application,bbc79423-4b95-4ab5-814f-5437a954126c,malicious,high,Joe Sandbox report labels this client ID as a potentially malicious OAuth application in a malicious OAuth redirect.,https://www.joesandbox.com/analysis/1887080/0/html | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
SettingsEnabler,1e69a9f6-bb18-452a-baba-b4650ff21882,malicious,critical,"replyUrls=[   ""https://iwljzmwhres67fh.com/office"" ]; homepage=nan; appOwnerOrganizationId=1d2e2b77-68f0-4396-873a-22900b02a553",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
sharedoc,48cb1fac-7195-47b3-98b2-fe3562bee75c,malicious,critical,"OwnerTenantId=619849e9-5192-4c3f-b0f3-8469980c3958; OwnerTenantDomains=nceconomicresourcecouncil.onmicrosoft.com; ncerc.org; LastSeen=2025 | replyUrls=[   ""https://nmcunhasteamworkspace.myclickfunnels.com/secured-sharepoint-document"" ]; homepage=nan; appOwnerOrganizationId=619849e9-5192-4c3f-b0f3-8469980c3958",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Sharеpoiпt Cloud,482fb03a-5218-43c2-8ce6-61956c7ca99b,malicious,critical,OwnerTenantId=0c05c65c-d311-4821-aa22-46b8abec59d5; OwnerTenantDomains=generalimports.onmicrosoft.com; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
